about	above	after	airplane	all	alligator	animal	ankle	another	ant	any	apple	applesauce	arm	around	asleep	at	aunt	awake	away	baby	babysitter	back	backyard	bad	ball	balloon	banana	basement	basket	bat	bath	bathroom	bathtub	beach	beads	beans	bear	bed	bedroom	bee	before	behind	belt	bench	beside	better	bib	bicycle	big	bird	bite	black	blanket	block	blow	blue	boat	book	boots	bottle	bowl	box	boy	bread	break	breakfast	bring	broken	broom	brother	brown	brush	bubbles	bucket	bug	build	bump	bunny	bus	butter	butterfly	button	buy	by	bye	cake	call	camera	camping	candy	car	careful	carrots	carry	cat	catch	cereal	chair	chalk	chase	cheek	cheerios	cheese	child	chin	chocolate	church	circus	clap	climb	clock	close	closet	cloud	clown	coat	coffee	coke	cold	comb	cook	cookie	corn	couch	country	cover	cow	cowboy	cracker	crayon	crib	cry	cup	cut	cute	daddy	dance	dark	day	deer	diaper	did	dinner	dirty	dish	doctor	dog	doll	donkey	donut	door	down	downtown	draw	drawer	dress	drive	drop	dryer	duck	dump	each	ear	eat	egg	elephant	empty	every	eye	face	fall	farm	fast	feed	find	fine	finger	finish	fireman	firetruck	first	fit	fix	flag	flower	food	foot	for	fork	friend	frog	full	game	garage	garbage	garden	gentle	get	giraffe	girl	give	glass	glasses	gloves	glue	go	good	goose	grandma	grandpa	grapes	grass	green	grrr	gum	hair	hamburger	hammer	hand	happy	hard	hat	hate	have	he	head	hear	heavy	helicopter	hello	help	hen	her	here	hers	hi	hide	high	him	his	hit	hold	home	horse	hose	hot	house	how	hug	hungry	hurry	hurt	ice	inside	into	it	jacket	jar	jeans	jello	jelly	juice	jump	keys	kick	kiss	kitchen	kitty	knee	knife	knock	ladder	lady	lamb	lamp	last	later	leg	lick	light	like	lion	lips	listen	little	lollipop	long	look	loud	love	lunch	mad	mailman	make	man	me	meat	medicine	melon	meow	milk	mine	mittens	mommy	money	monkey	moo	moon	moose	mop	more	morning	motorcycle	mouse	mouth	movie	much	muffin	my	myself	nail	nap	napkin	naughty	necklace	new	nice	night	no	noisy	none	noodles	nose	not	now	nurse	nuts	of	off	old	on	open	other	ouch	our	out	outside	oven	over	owl	paint	pajamas	pancake	pants	paper	park	party	pattycake	peas	peekaboo	pen	pencil	penguin	penis	penny	people	person	pick	pickle	picnic	picture	pig	pillow	pizza	plant	plate	play	playground	please	police	pony	pool	poor	popcorn	popsicle	porch	potato	potty	pour	present	pretend	pretty	pretzel	pudding	pull	pumpkin	puppy	purse	push	put	puzzle	quiet	radio	rain	raisin	read	red	refrigerator	ride	rip	rock	roof	room	rooster	run	sad	salt	same	sandbox	sandwich	sauce	say	scared	scarf	school	scissors	see	shake	share	she	sheep	shush	shirt	shoe	shopping	shorts	shoulder	shovel	show	shower	sick	sidewalk	sing	sink	sister	sit	skate	sky	sled	sleep	sleepy	slipper	slow	smile	snack	sneaker	snow	snowman	snowsuit	soap	sock	soda	sofa	soft	some	soup	spaghetti	spill	splash	spoon	sprinkler	squirrel	stairs	stand	star	stay	stick	sticky	stone	stop	store	story	stove	strawberry	street	stroller	stuck	sun	sweater	sweep	swim	table	take	talk	tape	taste	teacher	tear	telephone	that	their	them	there	these	they	think	thirsty	this	those	throw	tickle	tiger	tights	time	tiny	tired	tissue	to	toast	today	toe	tomorrow	tongue	tonight	too	tooth	toothbrush	touch	towel	toy	tractor	train	trash	tray	tree	tricycle	truck	tummy	tuna	turkey	turtle	uncle	under	underpants	up	us	vacuum	vagina	vanilla	vitamins	vroom	wait	wake	walk	walker	wash	we	wet	what	when	where	which	white	who	why	wind	window	windy	wipe	wish	with	wolf	woods	write	yard	yellow	yes	yesterday	yogurt	you	your	yourself	yucky	zebra	zipper	zoo
0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0
0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0
0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0
0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0
0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0
